FL_DATE,AIRLINE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,CRS_ARR_TIME,CANCELLED,CRS_ELAPSED_TIME,DISTANCE,ORIGIN_CITY_MAXTEMP_C,ORIGIN_CITY_MINTEMP_C,ORIGIN_CITY_AVGTEMP_C,ORIGIN_CITY_MAXWIND_KPH,ORIGIN_CITY_TOTALPRECIP_MM,ORIGIN_CITY_AVGVIS_KM,ORIGIN_CITY_AVGHUMIDITY,ORIGIN_CITY_TEXT,ORIGIN_CITY_DAILY_CHANCE_OF_RAIN,ORIGIN_CITY_DAILY_CHANCE_OF_SNOW,DEST_CITY_MAXTEMP_C,DEST_CITY_MINTEMP_C,DEST_CITY_AVGTEMP_C,DEST_CITY_MAXWIND_KPH,DEST_CITY_TOTALPRECIP_MM,DEST_CITY_AVGVIS_KM,DEST_CITY_AVGHUMIDITY,DEST_CITY_TEXT,DEST_CITY_DAILY_CHANCE_OF_RAIN,DEST_CITY_DAILY_CHANCE_OF_SNOW
2023-07-25,Southwest Airlines Co.,19393,19,ABQ,"Albuquerque, NM",DAL,"Dallas, TX",800,1045,0.0,105.0,580.0,39.8,22.7,30.9,23.8,0.0,10.0,23,Sunny,0,0,40.3,27.8,34.4,20.5,0.0,10.0,35,Sunny,0,0
2023-06-30,SkyWest Airlines Inc.,20304,4238,ABR,"Aberdeen, SD",MSP,"Minneapolis, MN",624,735,0.0,71.0,257.0,28.7,16.6,22.6,12.2,0.6,10.0,62,Patchy rain possible,100,0,29.7,18.6,24.4,15.5,0.0,10.0,57,Cloudy,0,0
2023-06-14,Delta Air Lines Inc.,19790,511,LGA,"New York, NY",DFW,"Dallas/Fort Worth, TX",810,1059,0.0,229.0,1389.0,23.9,16.4,18.9,19.2,19.45,9.4,74,Moderate or heavy rain shower,100,0,33.5,21.5,27.1,13.0,15.9,10.0,67,Moderate or heavy rain shower,100,0
2023-06-05,Delta Air Lines Inc.,19790,2745,HSV,"Huntsville, AL",ATL,"Atlanta, GA",525,721,0.0,56.0,151.0,29.3,18.0,23.2,9.0,0.3,8.5,76,Patchy rain possible,100,0,29.5,18.1,23.7,9.7,0.0,10.0,56,Cloudy,0,0
2023-08-25,Southwest Airlines Co.,19393,1874,PHX,"Phoenix, AZ",SNA,"Santa Ana, CA",2030,2150,0.0,80.0,338.0,45.1,30.9,37.7,10.1,0.0,10.0,24,Sunny,0,0,30.0,17.0,23.2,14.8,0.0,10.0,62,Overcast,0,0
2023-08-17,Republic Airline,20452,5845,ACK,"Nantucket, MA",JFK,"New York, NY",1152,1309,0.0,77.0,199.0,22.5,19.9,21.0,26.3,10.0,7.9,94,Moderate or heavy rain shower,100,0,27.3,22.1,24.4,20.5,1.9,9.9,74,Patchy rain possible,100,0
2023-05-17,Delta Air Lines Inc.,19790,1050,IAH,"Houston, TX",MSP,"Minneapolis, MN",630,920,0.0,170.0,1034.0,30.6,20.8,25.5,14.8,0.3,10.0,63,Patchy rain possible,100,0,22.6,12.3,17.9,17.6,0.0,9.9,67,Overcast,0,0
2023-05-12,JetBlue Airways,20409,831,BOS,"Boston, MA",LGA,"New York, NY",1400,1523,0.0,83.0,184.0,24.9,13.5,19.3,11.4,0.3,9.8,64,Patchy rain possible,100,0,29.2,15.1,22.4,16.9,0.0,10.0,47,Sunny,0,0
2023-06-30,SkyWest Airlines Inc.,20304,3936,ICT,"Wichita, KS",MSP,"Minneapolis, MN",736,930,0.0,114.0,545.0,39.2,25.6,32.8,27.7,0.0,10.0,37,Partly cloudy,0,0,29.7,18.6,24.4,15.5,0.0,10.0,57,Cloudy,0,0
2023-08-27,Southwest Airlines Co.,19393,1529,DCA,"Washington, DC",DAL,"Dallas, TX",1740,1945,0.0,185.0,1184.0,32.3,21.1,24.8,11.9,0.3,10.0,61,Patchy rain possible,100,0,41.9,31.7,36.1,18.4,0.7,9.8,32,Thundery outbreaks possible,100,0
